block_id,regime_id
1,1
2,0
3,0
4,0
5,0
6,1
7,1
8,2
9,1
10,1
11,1
12,0
13,1
14,1
15,2
16,0
17,2
18,0
19,0
20,2
21,0
22,1
23,1
24,2
25,0
26,0
27,0
28,1
29,0
30,2
31,0
32,0
33,2
34,0
35,0
36,2
37,2
38,0
39,2
40,2
41,2
42,0
43,2
44,2
45,0
46,0
47,0
48,2
49,0
50,0
51,2
52,2
53,0
54,0
55,0
56,0
57,0
58,2
59,0
60,0
