trial,pnl,maxdd,pnl_dd,trades,position_pct,max_concurrent,buy_cooldown,volatility_gate,rsi_buy,take_profit,trailing_stop,stop_loss,sell_cooldown,time_in_market,time_flat,win_rate,avg_trade_ret,blocks_traded
0,-15.477254725260764,0.033205082504383254,-14.706369445120306,130,0.06359949021420037,1,12,0.8611934355709661,36,0.016919040167104604,0.010911567216908221,0.05715625798103982,7,0.1642361111111111,0.8357638888888889,0.42424242424242425,-0.003623101523462611,4
1,15.711478835080356,0.027030967986861887,15.074434112954384,161,0.04668272751028666,2,11,0.6807479672069601,38,0.012979876372466713,0.024848043547600167,0.07123851755836932,9,0.2972222222222222,0.7027777777777777,0.5555555555555556,0.004190769856608655,4
2,-45.426522234650406,0.0606902723680135,-41.291100223921575,141,0.1046561485357468,1,11,0.6391719026321269,36,0.01060633472283654,0.00905183932083066,0.05580471853871574,6,0.11527777777777778,0.8847222222222222,0.43661971830985913,-0.0061697332917056286,4
3,-28.21604196986698,0.03559086529104316,-26.709691946673047,114,0.030694568430998298,1,9,0.8806724907493801,33,0.0252909815808027,0.01759367605324204,0.05031420320111295,8,0.21493055555555557,0.7850694444444444,0.3508771929824561,-0.01629968913373881,4
4,-39.01489785962531,0.10735566990536827,-32.732192115610914,349,0.0993637454441577,2,6,1.0204514079642937,45,0.021500225751595853,0.02734848153470748,0.04049681916026658,10,0.5947916666666667,0.4052083333333333,0.4715909090909091,-0.0024173833206888665,4
5,-27.496806945232493,0.06364016033022546,-24.871955141386714,218,0.062754596329611,2,15,0.9213625040985938,45,0.02269362032399876,0.007970278134600595,0.04198054410050123,14,0.48055555555555557,0.5194444444444444,0.45454545454545453,-0.00391086492803261,4
6,17.48312723378467,0.04580136429314852,16.282000614657616,203,0.06062750430479508,1,7,0.6402866224421728,45,0.03420566846118369,0.025206200427182086,0.05610902728432804,13,0.665625,0.334375,0.46601941747572817,0.0030053286363586327,4
7,-3.575273482685134,0.014700645730778228,-3.496435239395734,79,0.036922544658417794,1,11,0.8139745686736553,30,0.034545143024644745,0.016592518064516323,0.05024002636274916,7,0.12291666666666666,0.8770833333333333,0.4,-0.002374215987728747,4
8,-3.8840369385485474,0.030804993816095028,-3.7045653377383383,113,0.045974475274713704,2,16,1.0420482337722676,36,0.008351468090752868,0.025137718536782247,0.03616332785577807,11,0.26319444444444445,0.7368055555555555,0.5614035087719298,-0.001068290149342647,4
9,-10.693674734656042,0.01748534662931911,-10.413200820441064,152,0.022555094184969274,2,9,0.8982442792407075,36,0.017473541335144296,0.01922346972778606,0.0783746413924895,4,0.20243055555555556,0.7975694444444444,0.4605263157894737,-0.006193185873611079,4
10,-82.89413119671724,0.17727969905426477,-60.85096124883908,311,0.08551853059455952,3,4,0.7193421150376647,41,0.0348519086494931,0.02944515035245597,0.02403320066618614,16,0.596875,0.40312499999999996,0.42038216560509556,-0.006868519448839087,4
11,-19.72918321056659,0.08019721678835123,-17.355844836074226,264,0.05434021200952981,3,7,0.6124085916411973,41,0.028439725949137636,0.02320730468085478,0.07128528099513617,12,0.4951388888888889,0.5048611111111111,0.42857142857142855,-0.0028369962273877376,4
12,-74.8106110165919,0.10485301521572743,-63.04443381376104,178,0.07834144771492244,3,14,0.7222401455886824,41,0.014294189009086928,0.022213881521950828,0.06572996444935024,13,0.38680555555555557,0.6131944444444444,0.4777777777777778,-0.010896739414945001,4
