trial,pnl,maxdd,pnl_dd,trades,position_pct,max_concurrent,buy_cooldown,volatility_gate,rsi_buy,take_profit,trailing_stop,stop_loss,sell_cooldown,time_in_market,time_flat,win_rate,avg_trade_ret,blocks_traded
0,26.129241701568844,0.03407871319671185,24.793565300575853,681,0.06359949021420037,1,12,0.8611934355709661,36,0.016919040167104604,0.010911567216908221,0.05715625798103982,7,0.21603535353535352,0.7839646464646465,0.46647230320699706,0.0012169457896161772,22
1,-24.964010612068705,0.0821726866739736,-21.886970878841794,833,0.04668272751028666,2,11,0.6807479672069601,38,0.012979876372466713,0.024848043547600167,0.07123851755836932,9,0.34539141414141417,0.6546085858585858,0.5415676959619953,-0.0013004409164698567,22
2,19.890517066305847,0.05251675105527698,18.323639066607964,717,0.1046561485357468,1,11,0.6391719026321269,36,0.01060633472283654,0.00905183932083066,0.05580471853871574,6,0.1597222222222222,0.8402777777777778,0.4777777777777778,0.0005643174628138813,22
3,-13.279068025034121,0.03082548020089193,-12.665067552296142,488,0.030694568430998298,1,9,0.8806724907493801,33,0.0252909815808027,0.01759367605324204,0.05031420320111295,8,0.23251262626262625,0.7674873737373737,0.43724696356275305,-0.0017369421621768089,22
4,57.92964766300838,0.2461493971537465,36.540625888640704,1571,0.0993637454441577,2,6,1.0204514079642937,45,0.021500225751595853,0.02734848153470748,0.04049681916026658,10,0.6361111111111111,0.36388888888888893,0.4849246231155779,0.0008615865213283911,22
5,14.336026990329742,0.11205781461611874,11.926331208108675,1162,0.062754596329611,2,15,0.9213625040985938,45,0.02269362032399876,0.007970278134600595,0.04198054410050123,14,0.5032196969696969,0.49678030303030307,0.4300341296928328,0.00044120500315449323,22
6,101.35871667876313,0.10064440679649178,86.05693480808144,889,0.06062750430479508,1,7,0.6402866224421728,45,0.03420566846118369,0.025206200427182086,0.05610902728432804,13,0.6785984848484848,0.32140151515151516,0.4444444444444444,0.003648589824348097,22
7,-1.9044461461347737,0.02501594999389023,-1.832983851798127,349,0.036922544658417794,1,11,0.8139745686736553,30,0.034545143024644745,0.016592518064516323,0.05024002636274916,7,0.16003787878787878,0.8399621212121212,0.4519774011299435,-0.0002669768190799022,22
8,-10.974726195699077,0.056305684791299826,-10.047816984930297,626,0.045974475274713704,2,16,1.0420482337722676,36,0.008351468090752868,0.025137718536782247,0.03616332785577807,11,0.2791666666666667,0.7208333333333333,0.6265822784810127,-0.0007138540823330594,22
9,-8.292564641200784,0.03002403402758047,-7.919100276755799,821,0.022555094184969274,2,9,0.8982442792407075,36,0.017473541335144296,0.01922346972778606,0.0783746413924895,4,0.25732323232323234,0.7426767676767676,0.47699757869249393,-0.0008892844702899334,22
10,-90.36789743310612,0.31706272478693565,-47.3894597429957,1473,0.08551853059455952,3,4,0.7193421150376647,41,0.0348519086494931,0.02944515035245597,0.02403320066618614,16,0.6255050505050505,0.37449494949494955,0.4302788844621514,-0.0013829293907082548,22
11,16.427588325188367,0.39729962462052115,6.637576312661676,1901,0.11861634038302649,3,4,1.1730076649388868,45,0.028439813494056443,0.029822810068233407,0.06432592358121039,12,0.6888888888888889,0.3111111111111111,0.47925311203319504,0.00040266854067706113,22
12,97.63485038339468,0.14701514283216155,76.10414817162744,1353,0.08671584779029301,3,7,1.0523831760379407,41,0.029656125310538115,0.024031617205186994,0.03603586960268627,13,0.5895833333333333,0.41041666666666665,0.44250363901018924,0.001753199688875568,22
13,265.2265467559314,0.12613063225177146,215.0467587075119,1440,0.08124429900224435,3,7,1.1172338324070619,42,0.02972499991068819,0.022820372761213632,0.027510272915899695,13,0.6085858585858586,0.39141414141414144,0.45964432284541723,0.004345412362910607,22
14,43.29714082275518,0.13903324206460022,34.267528031682374,1429,0.07644809946906042,3,7,1.1494488059700345,42,0.030664379685174166,0.0214202267167074,0.0201275873351967,15,0.6140782828282828,0.3859217171717172,0.43448275862068964,0.0009291930860994151,22
15,-2.3123375458341116,0.12672498062412363,-1.8727911497957195,1457,0.05927921153517054,3,8,0.7481819688408502,43,0.026354062140726924,0.021708002185749302,0.026698906139518717,13,0.6024621212121212,0.39753787878787883,0.42760487144790255,-7.204925162803789e-05,22
16,0.39687241465685474,0.12355892528255807,0.3233167211129127,834,0.0754673224001678,1,5,0.6051774587451405,39,0.03041473145102048,0.014041616532177741,0.0638925989829552,11,0.44116161616161614,0.5588383838383839,0.4265402843601896,9.904938141851324e-05,22
17,49.93009964018711,0.09407031174178293,42.88468958251108,1051,0.05311103410133464,2,13,0.7918465943509257,43,0.03266085959585271,0.02177177826908706,0.03113000836540764,16,0.6041666666666666,0.39583333333333337,0.4504672897196262,0.0018405095502184398,22
18,17.44341832771704,0.12124316487642572,14.271075461243244,665,0.08887052305593626,1,9,0.9621749431414665,40,0.02538311014477427,0.026838969523596417,0.044224667993206075,14,0.5344065656565656,0.46559343434343436,0.4836795252225519,0.0007365247265456319,22
