block_id,samples,mean_p0,mean_p1,mean_p2,purity0,purity1,purity2,pure_regime,purity,win_candles,stride
1,57,0.07716072839968308,0.44801782109064486,0.474821450509672,0.07017543859649122,0.45614035087719296,0.47368421052631576,2,0.47368421052631576,168,6
2,57,0.655195690990013,0.006810564512101469,0.3379937444978856,0.6491228070175439,0.0,0.3508771929824561,0,0.6491228070175439,168,6
3,57,0.9999994525097865,2.6053728936223393e-11,5.474641597483322e-07,1.0,0.0,0.0,0,1.0,168,6
4,57,0.44738033638744523,8.830875036806272e-05,0.5525313548621865,0.43859649122807015,0.0,0.5614035087719298,2,0.5614035087719298,168,6
5,57,0.6400759530138123,1.4576390732599068e-05,0.3599094705954553,0.6666666666666666,0.0,0.3333333333333333,0,0.6666666666666666,168,6
6,57,0.358418076178326,0.30339286509767766,0.33818905872399635,0.3508771929824561,0.3157894736842105,0.3333333333333333,0,0.3508771929824561,168,6
7,57,0.2935478256226434,0.18383027001921506,0.5226219043581415,0.2807017543859649,0.19298245614035087,0.5263157894736842,2,0.5263157894736842,168,6
8,57,0.6350459114431776,1.0625210751392621e-05,0.36494346334607075,0.631578947368421,0.0,0.3684210526315789,0,0.631578947368421,168,6
9,57,0.26664175901971154,0.574190846958572,0.15916739402171648,0.2631578947368421,0.5789473684210527,0.15789473684210525,1,0.5789473684210527,168,6
10,57,0.13530243699998748,0.7971545550225115,0.06754300797750087,0.14035087719298245,0.7894736842105263,0.07017543859649122,1,0.7894736842105263,168,6
11,57,0.5970538637000454,0.40283739594487733,0.00010874035507723391,0.5964912280701754,0.40350877192982454,0.0,0,0.5964912280701754,168,6
12,57,0.6991188207953731,3.819685199942474e-09,0.3008811753849416,0.7017543859649122,0.0,0.2982456140350877,0,0.7017543859649122,168,6
13,57,0.123052272556914,0.05415471019706985,0.8227930172460165,0.12280701754385964,0.05263157894736842,0.8245614035087719,2,0.8245614035087719,168,6
14,57,0.7907095636978088,0.20914877411293464,0.0001416621892564197,0.7719298245614035,0.22807017543859648,0.0,0,0.7719298245614035,168,6
15,57,0.23439484992596304,2.9451645283876587e-10,0.7656051497795207,0.24561403508771928,0.0,0.7543859649122807,2,0.7543859649122807,168,6
16,57,0.9994538964162492,3.1673977267966406e-09,0.0005461004163529804,1.0,0.0,0.0,0,1.0,168,6
17,57,0.4927425653868493,1.1227049838951e-09,0.5072574334904457,0.47368421052631576,0.0,0.5263157894736842,2,0.5263157894736842,168,6
18,57,0.9266880842532814,2.3469403264041223e-06,0.07330956880639207,0.9473684210526315,0.0,0.05263157894736842,0,0.9473684210526315,168,6
19,57,0.885701156386528,3.271183554677038e-10,0.11429884328635373,0.8947368421052632,0.0,0.10526315789473684,0,0.8947368421052632,168,6
20,57,0.46433011637694155,7.925624090492714e-14,0.5356698836229792,0.47368421052631576,0.0,0.5263157894736842,2,0.5263157894736842,168,6
21,57,0.919413729586579,1.7396832669601362e-13,0.08058627041324715,0.9122807017543859,0.0,0.08771929824561403,0,0.9122807017543859,168,6
22,57,0.43196424774999653,0.5271703093503084,0.04086544289969493,0.43859649122807015,0.5263157894736842,0.03508771929824561,1,0.5263157894736842,168,6
23,57,0.494795318669779,0.45924222594332464,0.04596245538689655,0.49122807017543857,0.49122807017543857,0.017543859649122806,0,0.49122807017543857,168,6
24,57,0.31750834786398974,5.986084845100767e-10,0.6824916515374015,0.3157894736842105,0.0,0.6842105263157895,2,0.6842105263157895,168,6
