block_id,samples,mean_p0,mean_p1,mean_p2,purity0,purity1,purity2,pure_regime,purity,win_candles,stride
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
2,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
3,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
4,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
5,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
6,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
7,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
8,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
9,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
10,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
11,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
12,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
13,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
14,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
15,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
16,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
17,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
18,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
19,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
20,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
21,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
22,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
23,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
24,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
25,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
26,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
27,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
28,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
29,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
30,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
31,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
32,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
33,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
34,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
35,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
36,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
37,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
38,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
39,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
40,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
41,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
42,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
43,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
44,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
45,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
46,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
47,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
48,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
49,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
50,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
51,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
52,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
53,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
54,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
55,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
56,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
57,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
58,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
59,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
60,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
61,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
62,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
63,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
64,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
65,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
66,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
67,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
68,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
69,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
70,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
71,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
72,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
73,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
74,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
75,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
76,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
77,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
78,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
79,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
80,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
81,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
82,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
83,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
84,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
85,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
86,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
87,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
88,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
89,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
90,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
91,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
92,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
93,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
94,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
95,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
96,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
97,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
98,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
99,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
100,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
101,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
102,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,168,6
