trial_number,score,buy_cooldown,sell_cooldown,min_roi,buy_floor,sell_ceiling,,
0,17116.56232,47,147,2.835553433,17.13509052,11.07701721,1.310213522,0.402563041
1,14345.24862,37,138,3.259122753,16.30502776,6.286310016,1.163614617,0.392237703
2,20646.1958,78,2,3.98155639,7.28568983,4.696699066,1.172642259,0.318232651
3,27331.18511,104,128,1.491378688,8.611833782,18.83209428,0.542444788,0.261032637
4,21517.35705,105,70,4.781876156,16.66814177,7.218159027,0.787496426,0.483001607
5,22940.135186982614,55,102,7.839254720149082,18.132685373915898,11.113309328437913,0.5792312598467718,0.4620141886319157
6,21560.13676095546,165,39,3.3754115209937314,2.8087839201390845,5.232893179642277,1.3240381607885956,0.3547989827781815
7,25377.80163182241,75,61,5.907255770127685,17.787917157685975,9.131663849188772,0.5307280406206277,0.26189582498106134
8,22953.18917731993,59,145,3.6423630626191876,14.5535244874722,18.286809966618947,0.847165461700377,0.2729906312714886
9,18071.939241491422,53,107,6.6800752350952735,3.5248036647810004,8.370515897363033,1.4807680001014085,0.12601803198765077
10,21006.391851348657,135,196,1.1027864470519546,10.439373380515358,19.793179808223186,0.7637464775341003,0.12293933981689453
11,25929.495523159596,1,52,9.953585806599257,11.767019607410699,15.192667077214969,0.5054557716822312,0.22119492466671664
12,24307.895996865223,6,18,9.680693818969274,11.5702199816356,15.589147564586966,0.6073994128848244,0.19833593655724047
13,21296.378124397852,199,72,9.90406596507365,7.743377194121262,14.89583283303382,0.6756191829033024,0.04745220248422588
14,18452.018745332633,116,199,1.064815464246629,12.434543920747124,15.163585976596963,0.9090071889384568,0.18420832919005858
15,9104.675590641597,20,122,8.522412699887067,7.493998749004165,1.1567604384843584,1.0309951819547551,0.20560385194812753
16,25117.824940703707,142,168,6.925968584382327,4.765644697325277,16.981438154779166,0.5073531710566739,0.010097239559857418
17,26193.735344560966,92,86,2.3403328215309016,9.765052846209944,12.954413428852455,0.7037965450158818,0.30735869120829334
18,24578.234877094164,87,95,2.0578629853585024,9.410268792063212,13.812557197925972,0.6984951522152112,0.30785089141104444
19,24109.27791181828,123,87,2.189829841166773,5.098096243689504,12.593092053193077,0.6567823528161406,0.14944687112109936
20,25634.33018433384,159,124,4.57837725502811,13.789968055349616,18.96768309497832,0.924886418129691,0.3275682523319342
21,24339.773507780472,94,43,2.094754247459931,8.920030039976341,16.449899843434608,0.5273771834671316,0.23708597590633587
22,24887.897754711215,20,46,5.75443304908592,12.222747981538491,17.52987165544744,0.7442667409791994,0.27197997004996205
23,24493.404518694828,105,87,8.314951002014194,5.966301664473958,13.266200294263509,0.6164765475067517,0.22750334326876298
24,20143.783166436628,197,23,1.858679238260369,9.894987270779222,12.44283778770031,0.5053540347704878,0.3763324583114118
25,19956.233049411465,172,60,4.827964649763793,1.1519996392203993,19.85410101812857,0.6079840950727874,0.44431782136713405
26,18412.032631165675,72,160,2.7258781076330267,14.371038195457222,14.214300020217635,0.8401650217893589,0.3003687379307055
27,22739.69311105682,4,126,1.429965241565526,11.403340012461996,16.348540396012773,0.700174040873073,0.15640263380224628
28,24477.572935695916,137,112,8.953950518054162,8.423552576286967,18.200984248663076,0.583636880415895,0.3551605290895998
29,22924.20441447118,35,79,2.683641937583606,19.405035539055106,11.197060902184713,1.038043681079906,0.43414480723622895
30,18498.319299051553,118,167,7.194561258621905,13.247272565507508,12.106458479913881,0.8251472079310269,0.08874245363599118
31,26348.159867056307,159,113,4.517335401037653,14.36446990299475,18.582535457294497,0.9256059617625281,0.33197475095518836
32,26243.040381050956,176,134,4.0804041072984845,15.229561137109823,17.687838147928538,1.1474127960905662,0.2439117608391921
33,26011.590814444513,185,135,4.151377661726524,15.875958192719784,18.701224517282277,1.1249971833772447,0.29551473648964977
34,23342.8757415351,152,157,5.252381302996099,15.18533347839682,17.49935645737616,1.2956205079717793,0.4060182310201228
35,23962.670750024852,180,114,3.2131538131390016,6.586917972460965,19.699188183726132,1.128960657546685,0.3492049897630915
36,20298.482268084543,149,138,4.135178388622114,16.9226911261521,16.330157639830666,0.9522446940159821,0.2650139322179717
37,14112.55347154677,125,183,3.062632529638475,19.287725108957833,10.180468065016829,1.2724316718107493,0.3344506950186071
38,25982.62146848904,86,97,3.5397703998573626,13.188030700936878,17.712701779005354,1.2206480693410076,0.4077283599321271
39,9648.79068161839,185,146,6.1737116928095155,10.650819985680693,3.592996982071809,1.0533244576600627,0.3802319075392907
40,22148.45347587043,66,132,2.535989831752529,18.22886567098123,18.896867467735753,0.9726119067547957,0.28440233920215197
