window,window_size,buys,sells,gross_invested,realized_cost,realized_proceeds,realized_pnl,realized_roi,avg_trade_roi,open_value_now,window_total_at_liq
minnow,1d,58,50,6578.239022308538,5307.48180318892,5847.081097150454,539.5992939615344,0.10166766726120935,0.09584101563571522,853.0529101065695,6700.134007257024
fish,3d,39,36,5236.994457459944,4499.082541919315,5200.3532805107225,701.2707385914073,0.15586972056134907,0.13770773873419723,504.5410370157787,5704.894317526501
shark,1w,13,10,3644.580002645114,2550.544347039594,2977.5300362540793,426.9856892144853,0.16740963148125054,0.1629805417571974,771.4881988771305,3749.0182351312096
whale,2w,9,8,2747.3396639617267,2630.0980043137547,3182.1887324600675,552.0907281463128,0.2099126067700905,0.21207875860083084,81.60428241105781,3263.7930148711253
