window,window_size,buys,sells,gross_invested,realized_cost,realized_proceeds,realized_pnl,realized_roi,avg_trade_roi,open_value_now,window_total_at_liq
minnow,1d,150,133,18460.850496945262,15825.382469316068,17388.746696791455,1563.3642274753875,0.09878840088109109,0.08647942099096037,1754.8904481649417,19143.637144956396
fish,3d,62,57,7409.377450767979,6578.75800767778,7531.422580967022,952.6645732892421,0.14480918315849722,0.12780638303082492,574.1340766517125,8105.556657618735
shark,6d,28,25,1242.1624103594963,1025.7680839365114,1179.1937993897482,153.42571545323676,0.149571543369186,0.14674544305557605,153.0845596420144,1332.2783590317626
whale,3w,15,13,543.5357404971521,513.2177639216181,573.6168832454023,60.399119323784134,0.11768711757414674,0.19650779619415853,27.745812416865334,601.3626956622676
