window,window_size,buys,sells,gross_invested,realized_cost,realized_proceeds,realized_pnl,realized_roi,avg_trade_roi,open_value_now,window_total_at_liq
minnow,1d,125,113,17068.63156522171,14617.177855572927,16093.283699090325,1476.1058435173982,0.10098432529878676,0.08975624320912687,1619.3100546845749,17712.5937537749
fish,3d,48,44,6669.275065928657,5908.643659033295,6789.644480781116,881.0008217478207,0.14910373219087636,0.1348474219434898,522.338076476237,7311.982557257353
shark,6d,28,24,2941.7777832368497,2405.1958374375627,2772.3083425126897,367.11250507512705,0.1526331034508357,0.1527970917201983,380.69432460886395,3153.0026671215537
whale,3w,7,6,538.498588938183,515.0025565735743,562.9464809412673,47.943924367692944,0.09309453663040901,0.23680544693299235,20.900909517831185,583.8473904590985
