window,window_size,buys,sells,gross_invested,realized_cost,realized_proceeds,realized_pnl,realized_roi,avg_trade_roi,open_value_now,window_total_at_liq
minnow,1d,15,11,1270.1493346760874,860.0997139474483,912.7843932295832,52.68467928213488,0.06125415277763224,0.060243800404631,375.4092392985266,1288.19363252811
fish,3d,11,6,1300.9706385540476,746.7793422993168,798.3197410107842,51.540398711467446,0.0690169047161584,0.06900031428687163,525.5148738019755,1323.8346148127598
whale,6d,7,5,801.8600060466035,627.916474511771,668.5110087555522,40.594534243781254,0.06464957664209248,0.07008333421808038,170.9461104650254,839.4571192205776
