window,window_size,buys,sells,gross_invested,realized_cost,realized_proceeds,realized_pnl,realized_roi,avg_trade_roi,open_value_now,window_total_at_liq
minnow,1d,329,310,6143.706220736132,5657.02372325541,6061.224050806831,404.20032755142074,0.0714510575392846,0.06954556828760904,374.728037762696,6435.9520885695265
fish,5d,82,76,1490.2984061755521,1341.1317813485493,1527.0492135745455,185.9174322259962,0.13862726602381348,0.13733129936657007,117.01004404662376,1644.0592576211693
shark,10d,42,38,750.6069239775626,655.1677098441724,781.7326919704687,126.5649821262964,0.1931795175870299,0.19224265129940407,75.62018177914489,857.3528737496137
whale,30d,19,17,314.62180018755754,275.60885816599006,358.39201684549164,82.78315867950158,0.3003646516674876,0.30268745645960776,39.90365967905217,398.2956765245438
