window,window_size,buys,sells,gross_invested,realized_cost,realized_proceeds,realized_pnl,realized_roi,avg_trade_roi,open_value_now,window_total_at_liq
minnow,1d,97,90,15192.82529607004,12813.253665653236,14151.041818776192,1337.788153122956,0.10440659242616768,0.095639796346177,1570.6800362560907,15721.721855032283
fish,3d,41,38,11395.843260521728,10037.72144482976,11578.054823090413,1540.3333782606533,0.15345448533581796,0.1390812705154372,930.3404460232138,12508.395269113627
whale,6d,22,19,2564.8040474572654,2116.1463146028045,2431.9780564765765,315.831741873772,0.1492485371613128,0.14352444149108678,314.7473044801496,2746.725360956726
