TopBottom:0.74 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.21 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.10 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.10 | OpenNotes:0 Coin:0.0000
TopBottom:0.68 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.05 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.09 | OpenNotes:0 Coin:0.0000
TopBottom:0.67 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.01 | OpenNotes:0 Coin:0.0000
TopBottom:0.67 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.65 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.66 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.65 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.61 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.60 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.60 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.61 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.61 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.59 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.57 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.54 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.51 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.45 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.41 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.37 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.38 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.35 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.33 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.02 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.32 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.04 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.32 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.04 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.33 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.37 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.44 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.51 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.57 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.63 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.67 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.01 | OpenNotes:0 Coin:0.0000
TopBottom:0.71 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.13 | OpenNotes:0 Coin:0.0000
TopBottom:0.71 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.14 | OpenNotes:0 Coin:0.0000
TopBottom:0.73 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.19 | OpenNotes:0 Coin:0.0000
TopBottom:0.76 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.27 | OpenNotes:0 Coin:0.0000
TopBottom:0.77 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.30 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.26 | OpenNotes:0 Coin:0.0000
TopBottom:0.77 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.31 | OpenNotes:0 Coin:0.0000
TopBottom:0.76 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.27 | OpenNotes:0 Coin:0.0000
TopBottom:0.73 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.19 | OpenNotes:0 Coin:0.0000
TopBottom:0.74 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.21 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.26 | OpenNotes:0 Coin:0.0000
TopBottom:0.77 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.31 | OpenNotes:0 Coin:0.0000
TopBottom:0.80 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.39 | OpenNotes:0 Coin:0.0000
TopBottom:0.81 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.44 | OpenNotes:0 Coin:0.0000
TopBottom:0.78 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.34 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.26 | OpenNotes:0 Coin:0.0000
TopBottom:0.77 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.31 | OpenNotes:0 Coin:0.0000
TopBottom:0.79 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.38 | OpenNotes:0 Coin:0.0000
TopBottom:0.80 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.40 | OpenNotes:0 Coin:0.0000
TopBottom:0.80 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.39 | OpenNotes:0 Coin:0.0000
TopBottom:0.78 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.35 | OpenNotes:0 Coin:0.0000
TopBottom:0.77 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.32 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.24 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.25 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.24 | OpenNotes:0 Coin:0.0000
TopBottom:0.73 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.20 | OpenNotes:0 Coin:0.0000
TopBottom:0.71 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.14 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.09 | OpenNotes:0 Coin:0.0000
TopBottom:0.67 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.02 | OpenNotes:0 Coin:0.0000
TopBottom:0.68 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.04 | OpenNotes:0 Coin:0.0000
TopBottom:0.68 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.03 | OpenNotes:0 Coin:0.0000
TopBottom:0.67 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.01 | OpenNotes:0 Coin:0.0000
TopBottom:0.69 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.06 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.10 | OpenNotes:0 Coin:0.0000
TopBottom:0.72 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.16 | OpenNotes:0 Coin:0.0000
TopBottom:0.75 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.25 | OpenNotes:0 Coin:0.0000
TopBottom:0.78 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.33 | OpenNotes:0 Coin:0.0000
TopBottom:0.76 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.28 | OpenNotes:0 Coin:0.0000
TopBottom:0.76 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.27 | OpenNotes:0 Coin:0.0000
TopBottom:0.76 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.27 | OpenNotes:0 Coin:0.0000
TopBottom:0.74 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.23 | OpenNotes:0 Coin:0.0000
TopBottom:0.73 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.19 | OpenNotes:0 Coin:0.0000
TopBottom:0.70 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.11 | OpenNotes:0 Coin:0.0000
TopBottom:0.72 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.15 | OpenNotes:0 Coin:0.0000
TopBottom:0.74 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.21 | OpenNotes:0 Coin:0.0000
TopBottom:0.69 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.08 | OpenNotes:0 Coin:0.0000
TopBottom:0.67 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.01 | OpenNotes:0 Coin:0.0000
TopBottom:0.64 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.61 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.59 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.59 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.57 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.54 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.52 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.50 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.50 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.47 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.46 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.45 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.44 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.41 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.37 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.34 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.30 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.11 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.26 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.21 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
